segment_dim,segment_value,digit,observed_prop,expected_prop
country_month,Eire|2011-09,1,0.597027,0.30103
country_month,Eire|2011-09,2,0.121387,0.176091
country_month,Eire|2011-09,3,0.085054,0.124939
country_month,Eire|2011-09,4,0.019818,0.09691
country_month,Eire|2011-09,5,0.050372,0.079181
country_month,Eire|2011-09,6,0.037985,0.066947
country_month,Eire|2011-09,7,0.02147,0.057992
country_month,Eire|2011-09,8,0.016515,0.051153
country_month,Eire|2011-09,9,0.050372,0.045757
country_month,Eire|2011-11,1,0.587056,0.30103
country_month,Eire|2011-11,2,0.119417,0.176091
country_month,Eire|2011-11,3,0.096627,0.124939
country_month,Eire|2011-11,4,0.038286,0.09691
country_month,Eire|2011-11,5,0.059253,0.079181
country_month,Eire|2011-11,6,0.033728,0.066947
country_month,Eire|2011-11,7,0.01732,0.057992
country_month,Eire|2011-11,8,0.010939,0.051153
country_month,Eire|2011-11,9,0.037375,0.045757
country_month,Eire|2010-11,1,0.582516,0.30103
country_month,Eire|2010-11,2,0.137377,0.176091
country_month,Eire|2010-11,3,0.102587,0.124939
country_month,Eire|2010-11,4,0.028546,0.09691
country_month,Eire|2010-11,5,0.071365,0.079181
country_month,Eire|2010-11,6,0.021409,0.066947
country_month,Eire|2010-11,7,0.022302,0.057992
country_month,Eire|2010-11,8,0.021409,0.051153
country_month,Eire|2010-11,9,0.012489,0.045757
country_month,Germany|2011-10,1,0.576836,0.30103
country_month,Germany|2011-10,2,0.12869,0.176091
country_month,Germany|2011-10,3,0.094625,0.124939
country_month,Germany|2011-10,4,0.043906,0.09691
country_month,Germany|2011-10,5,0.049205,0.079181
country_month,Germany|2011-10,6,0.02271,0.066947
country_month,Germany|2011-10,7,0.028009,0.057992
country_month,Germany|2011-10,8,0.028009,0.051153
country_month,Germany|2011-10,9,0.028009,0.045757
country_month,France|2011-09,1,0.558907,0.30103
country_month,France|2011-09,2,0.138549,0.176091
country_month,France|2011-09,3,0.100848,0.124939
country_month,France|2011-09,4,0.04147,0.09691
country_month,France|2011-09,5,0.044298,0.079181
country_month,France|2011-09,6,0.032045,0.066947
country_month,France|2011-09,7,0.03016,0.057992
