year_month,txn_count,total_value,flagged_count,pct_flagged,mad,pct_last_2_days
2009-12,44406,1580721.68,8044,18.11,0.018015,0.0
2010-01,31060,1276474.07,5555,17.88,0.026955,8.29
2010-02,28977,972139.98,5765,19.9,0.03018,7.89
2010-03,40762,1440617.64,7483,18.36,0.030544,13.95
2010-04,33572,1214553.04,6716,20.0,0.032318,15.13
2010-05,34495,1213166.65,7248,21.01,0.030997,2.28
2010-06,39334,1421333.09,7627,19.39,0.031372,13.54
2010-07,32790,1127775.92,6233,19.01,0.033568,7.87
2010-08,32885,1114058.95,6654,20.23,0.031972,7.87
2010-09,41461,1630495.1,8738,21.08,0.033965,16.36
2010-10,58187,2195110.93,11786,20.26,0.031994,7.94
2010-11,76684,2736197.49,15019,19.59,0.023241,11.47
2010-12,41908,1396959.48,7258,17.32,0.019732,0.0
2011-01,34744,1226954.01,5499,15.83,0.019267,6.31
2011-02,27451,997838.54,5082,18.51,0.029397,9.26
2011-03,36341,1313505.96,6654,18.31,0.030933,14.34
2011-04,29659,1060379.11,5190,17.5,0.029427,3.95
2011-05,36790,1353288.62,7032,19.11,0.028547,5.16
2011-06,36502,1457292.23,6453,17.68,0.023139,10.92
2011-07,39192,1367667.23,6464,16.49,0.023053,6.18
2011-08,34974,1305518.57,6953,19.88,0.025796,12.73
2011-09,49929,2054646.95,9915,19.86,0.025416,14.49
2011-10,59768,2210254.03,11763,19.68,0.023479,10.61
2011-11,83669,3003789.64,15289,18.27,0.020055,13.18
2011-12,25264,974938.95,4372,17.31,0.019421,0.0
