recall,precision
1.0,0.01637
0.997807,0.016421
0.996326,0.01645
0.993481,0.016458
0.991525,0.016477
0.989214,0.01649
0.939137,0.020008
0.938011,0.020062
0.93647,0.020122
0.904646,0.019798
0.903283,0.019878
0.900913,0.019937
0.89872,0.020001
0.896942,0.020076
0.894809,0.020144
0.892971,0.020217
0.890897,0.020288
0.888764,0.020361
0.886986,0.020441
0.885682,0.020532
0.883845,0.020612
0.881593,0.020683
0.879045,0.02075
0.877208,0.02083
0.874837,0.020896
0.873178,0.020982
0.871222,0.021063
0.8698,0.021159
0.8682,0.021251
0.866066,0.021328
0.86417,0.021413
0.862214,0.021499
0.860318,0.021589
0.858599,0.021682
0.856169,0.021762
0.854332,0.021856
0.851784,0.021935
0.849473,0.022018
0.812848,0.021454
0.811307,0.021556
0.809767,0.021665
0.807752,0.02176
0.806211,0.021871
0.804788,0.021987
0.802477,0.022072
0.800818,0.022182
0.799277,0.022293
0.796966,0.022384
0.794714,0.022479
0.792758,0.022588
0.79098,0.0227
0.788432,0.022796
0.786476,0.022905
0.784461,0.023016
0.781972,0.023114
0.780017,0.023232
0.77812,0.023353
0.776402,0.023478
0.774624,0.023601
0.773083,0.023735
0.770712,0.023846
0.768875,0.023976
0.766031,0.024074
0.76443,0.024214
0.763008,0.024361
0.760875,0.02449
0.758919,0.024625
0.721643,0.02364
0.719391,0.023762
0.716961,0.023881
0.715183,0.024024
0.713346,0.024164
0.711805,0.024316
0.709909,0.024456
0.708309,0.024613
0.706353,0.024754
0.704042,0.024891
0.702442,0.025053
0.700782,0.025225
0.698115,0.025383
0.696871,0.025582
0.694263,0.025746
0.691715,0.02592
0.6897,0.026116
0.687448,0.026322
0.685078,0.026525
0.682826,0.026723
0.680396,0.02692
0.677611,0.027104
0.674707,0.027283
0.67281,0.027506
0.671032,0.027728
0.669551,0.027973
0.666884,0.028173
0.664928,0.0284
0.661965,0.02858
0.660128,0.028806
0.657461,0.029016
0.655506,0.029257
0.653254,0.029481
0.65195,0.029746
0.650587,0.030025
0.648572,0.030274
0.646438,0.030533
0.644483,0.030809
0.642231,0.031061
0.640453,0.031348
0.638023,0.031618
0.636067,0.0319
0.633638,0.032188
0.631326,0.032477
0.628422,0.032764
0.625637,0.033072
0.623326,0.033424
0.62054,0.033755
0.618348,0.034111
0.614614,0.03441
0.611533,0.034754
0.608866,0.035129
0.605784,0.035505
0.60211,0.03583
0.599324,0.036218
0.596835,0.036617
0.595235,0.037079
0.593161,0.037525
0.591502,0.038022
0.589605,0.038532
0.587768,0.039034
0.585516,0.039506
0.583679,0.040028
0.582257,0.040613
0.58042,0.041201
0.578819,0.041812
0.576271,0.042393
0.574375,0.043016
0.572597,0.043674
0.571175,0.044392
0.568449,0.045037
0.566315,0.04574
0.5643,0.046511
0.562819,0.047344
0.560092,0.048167
0.556537,0.048961
0.552092,0.049714
0.547529,0.050476
0.542017,0.051148
0.533424,0.051497
0.531528,0.052534
0.529276,0.053581
0.527142,0.054651
0.525068,0.055731
0.52329,0.056918
0.521631,0.058144
0.51926,0.059386
0.516475,0.060638
0.514164,0.062014
0.510727,0.063584
0.508415,0.065104
0.505511,0.066683
0.502489,0.06825
0.499348,0.070093
0.496444,0.072168
0.494074,0.074612
0.490696,0.077548
0.487673,0.080591
0.483881,0.083676
0.478132,0.08651
0.470665,0.089151
0.46385,0.091826
0.459464,0.094587
0.456501,0.097943
0.453538,0.101207
0.451049,0.104669
0.448145,0.108452
0.446012,0.112508
0.444412,0.116887
0.442041,0.121255
0.438782,0.12576
0.434929,0.130571
0.429714,0.135295
0.422484,0.139842
0.412054,0.143823
0.39955,0.147311
0.383963,0.15058
0.365948,0.153611
0.348524,0.157133
0.331575,0.161766
0.318774,0.168811
0.29904,0.173533
0.296195,0.189706
0.294358,0.209058
0.292165,0.232273
0.290091,0.261164
0.286298,0.296817
0.279128,0.338046
0.255245,0.383697
0.189285,0.359401
0.135415,0.356641
0.133341,0.522648
0.070286,0.517452
0.001007,0.090909
