country,year_month,txn_count,flagged_count,pct_flagged,mad,verdict
Australia,2009-12,14,4,28.57,,INSUFFICIENT_DATA
Australia,2010-02,33,11,33.33,,INSUFFICIENT_DATA
Australia,2010-03,19,5,26.32,,INSUFFICIENT_DATA
Australia,2010-04,17,8,47.06,,INSUFFICIENT_DATA
Australia,2010-05,59,14,23.73,,INSUFFICIENT_DATA
Australia,2010-06,113,42,37.17,,INSUFFICIENT_DATA
Australia,2010-07,18,7,38.89,,INSUFFICIENT_DATA
Australia,2010-08,7,2,28.57,,INSUFFICIENT_DATA
Australia,2010-09,21,14,66.67,,INSUFFICIENT_DATA
Australia,2010-10,142,28,19.72,,INSUFFICIENT_DATA
Australia,2010-11,176,92,52.27,,INSUFFICIENT_DATA
Australia,2010-12,33,17,51.52,,INSUFFICIENT_DATA
Australia,2011-01,128,62,48.44,,INSUFFICIENT_DATA
Australia,2011-02,94,68,72.34,,INSUFFICIENT_DATA
Australia,2011-03,110,70,63.64,,INSUFFICIENT_DATA
Australia,2011-04,18,8,44.44,,INSUFFICIENT_DATA
Australia,2011-05,118,66,55.93,,INSUFFICIENT_DATA
Australia,2011-06,169,112,66.27,,INSUFFICIENT_DATA
Australia,2011-07,167,37,22.16,,INSUFFICIENT_DATA
Australia,2011-08,114,83,72.81,,INSUFFICIENT_DATA
Australia,2011-09,104,32,30.77,,INSUFFICIENT_DATA
Australia,2011-10,120,76,63.33,,INSUFFICIENT_DATA
Australia,2011-11,43,30,69.77,,INSUFFICIENT_DATA
Austria,2009-12,39,16,41.03,,INSUFFICIENT_DATA
Austria,2010-02,58,9,15.52,,INSUFFICIENT_DATA
Austria,2010-03,37,11,29.73,,INSUFFICIENT_DATA
Austria,2010-04,40,29,72.5,,INSUFFICIENT_DATA
Austria,2010-05,34,6,17.65,,INSUFFICIENT_DATA
Austria,2010-06,18,6,33.33,,INSUFFICIENT_DATA
Austria,2010-08,63,17,26.98,,INSUFFICIENT_DATA
Austria,2010-09,100,18,18.0,,INSUFFICIENT_DATA
Austria,2010-10,33,18,54.55,,INSUFFICIENT_DATA
Austria,2010-11,118,40,33.9,,INSUFFICIENT_DATA
Austria,2010-12,8,4,50.0,,INSUFFICIENT_DATA
Austria,2011-02,21,7,33.33,,INSUFFICIENT_DATA
Austria,2011-03,18,10,55.56,,INSUFFICIENT_DATA
Austria,2011-04,26,11,42.31,,INSUFFICIENT_DATA
Austria,2011-05,53,9,16.98,,INSUFFICIENT_DATA
Austria,2011-07,56,14,25.0,,INSUFFICIENT_DATA
Austria,2011-08,89,22,24.72,,INSUFFICIENT_DATA
Austria,2011-10,56,10,17.86,,INSUFFICIENT_DATA
Austria,2011-11,73,14,19.18,,INSUFFICIENT_DATA
Austria,2011-12,7,5,71.43,,INSUFFICIENT_DATA
Bahrain,2010-02,29,8,27.59,,INSUFFICIENT_DATA
Bahrain,2010-03,15,5,33.33,,INSUFFICIENT_DATA
Bahrain,2010-05,27,10,37.04,,INSUFFICIENT_DATA
Bahrain,2010-06,15,11,73.33,,INSUFFICIENT_DATA
Bahrain,2010-10,21,7,33.33,,INSUFFICIENT_DATA
Bahrain,2010-12,1,0,0.0,,INSUFFICIENT_DATA
Bahrain,2011-05,17,3,17.65,,INSUFFICIENT_DATA
Belgium,2009-12,20,5,25.0,,INSUFFICIENT_DATA
Belgium,2010-01,94,19,20.21,,INSUFFICIENT_DATA
Belgium,2010-02,63,17,26.98,,INSUFFICIENT_DATA
Belgium,2010-03,47,9,19.15,,INSUFFICIENT_DATA
Belgium,2010-04,116,30,25.86,,INSUFFICIENT_DATA
Belgium,2010-05,6,1,16.67,,INSUFFICIENT_DATA
Belgium,2010-06,139,52,37.41,,INSUFFICIENT_DATA
Belgium,2010-07,105,25,23.81,,INSUFFICIENT_DATA
Belgium,2010-08,81,16,19.75,,INSUFFICIENT_DATA
Belgium,2010-09,66,18,27.27,,INSUFFICIENT_DATA
Belgium,2010-10,83,22,26.51,,INSUFFICIENT_DATA
Belgium,2010-11,225,58,25.78,,INSUFFICIENT_DATA
Belgium,2010-12,96,25,26.04,,INSUFFICIENT_DATA
