risk_rank,txn_id,invoice,invoice_date,customer_id,country,stock_code,description,quantity,price,amount,composite_risk,risk_band,rule_flag_names,if_pct,suggested_procedure
1,TXN-00476376,534741,2010-11-24 09:29:00,12908,United Kingdom,15036,ASSORTED COLOURS SILK FAN,600.0,0.6499999761581421,390.0,0.99921,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.99842,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
2,TXN-00791394,563166,2011-08-12 12:37:00,18092,United Kingdom,79000,MOROCCAN TEA GLASS,600.0,0.6499999761581421,390.0,0.99826,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.99652,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
3,TXN-00915481,573086,2011-10-30 09:57:00,14441,United Kingdom,23490,T-LIGHT HOLDER HANGING LOVE BIRD,288.0,3.75,1080.0,0.99712,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.99424,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
4,TXN-00256701,514542,2010-07-05 10:48:00,18179,United Kingdom,21155,RED SPOTTY PEG BAG,300.0,1.5,450.0,0.99633,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.99266,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
5,TXN-00197914,508748,2010-05-18 11:45:00,17940,United Kingdom,21985,PACK OF 12 HEARTS DESIGN TISSUES,5000.0,0.5,2500.0,0.94,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",1.0,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
6,TXN-00796315,563590,2011-08-17 20:02:00,17450,United Kingdom,23285,PINK VINTAGE SPOT BEAKER,500.0,1.0800000429153442,540.0,0.93994,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, SPLIT_AMOUNT",0.99988,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
7,TXN-00052334,494243,2010-01-12 15:57:00,18102,United Kingdom,21549,CERAMIC BIRDHOUSE RED ROOF SMALL,240.0,2.0,480.0,0.9398,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, SPLIT_AMOUNT",0.9996,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
8,TXN-00052332,494243,2010-01-12 15:57:00,18102,United Kingdom,21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,225.0,2.0,450.0,0.93976,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, SPLIT_AMOUNT",0.99952,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
9,TXN-00284744,514507,2010-07-30 10:30:00,13125,United Kingdom,21877,HOME SWEET HOME MUG,20.0,250.0,5000.0,0.93886,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99772,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
10,TXN-00353443,491475,2010-09-28 10:30:00,14577,United Kingdom,82600,NO SINGING METAL SIGN,100.0,100.0,10000.0,0.93873,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99746,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
11,TXN-00570295,560251,2011-01-31 10:30:00,17571,United Kingdom,16235,RECYCLED PENCIL WITH RABBIT ERASER,100.0,50.0,5000.0,0.93864,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99728,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
12,TXN-00099339,498928,2010-02-24 10:18:00,13694,United Kingdom,40016,CHINESE DRAGON PAPER LANTERNS,600.0,0.25,150.0,0.93836,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.99672,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
13,TXN-00477133,535663,2010-11-24 11:01:00,17150,United Kingdom,22592,CARDHOLDER HOLLY WREATH METAL,100.0,20.0,2000.0,0.93824,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99648,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
14,TXN-00226032,577741,2010-06-09 12:46:00,17625,United Kingdom,35970,ZINC FOLKART SLEIGH BELLS,50.0,200.0,10000.0,0.93802,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99604,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
15,TXN-00997959,573362,2011-11-29 10:30:00,14178,United Kingdom,22398,MAGNETS PACK OF 4 SWALLOWS,100.0,20.0,2000.0,0.93788,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99576,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
16,TXN-00603300,531354,2011-03-04 15:17:00,13137,United Kingdom,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,25.0,40.0,1000.0,0.93767,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99534,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
17,TXN-00723458,557958,2011-06-19 09:56:00,18283,United Kingdom,22355,CHARLOTTE BAG SUKI DESIGN,10.0,98.0,980.0,0.93725,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, SPLIT_AMOUNT",0.9945,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
18,TXN-00458878,533370,2010-11-17 10:31:00,15874,United Kingdom,22656,VINTAGE BLUE KITCHEN CABINET,2.0,295.0,590.0,0.93723,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, SPLIT_AMOUNT",0.99446,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
19,TXN-00682615,537146,2011-05-15 11:24:00,12748,United Kingdom,22190,LOCAL CAFE MUG,100.0,5.0,500.0,0.93708,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99416,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
20,TXN-00256629,559130,2010-07-05 10:09:00,17238,United Kingdom,84375,SET OF 20 KIDS COOKIE CUTTERS,25.0,80.0,2000.0,0.93695,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.9939,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
21,TXN-00994507,578274,2011-11-28 10:30:00,17463,United Kingdom,23375,50'S CHRISTMAS PAPER GIFT BAG,50.0,40.0,2000.0,0.93655,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.9931,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
