country,year_month,n,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,mad,classification,obs12_10,obs12_11,obs12_12,obs12_13,obs12_14,obs12_15,obs12_16,obs12_17,obs12_18,obs12_19
Australia,2009-12,14,0.0,0.25,0.0,0.0,0.416667,0.166667,0.166667,0.0,0.0,0.137731,NONCONFORMING,0.0,0.0,0.230769,0.0,0.0,0.153846,0.153846,0.153846,0.0,0.0
Australia,2010-02,33,0.038462,0.0,0.153846,0.192308,0.269231,0.038462,0.038462,0.0,0.269231,0.119517,NONCONFORMING,0.064516,0.0,0.0,0.0,0.129032,0.096774,0.032258,0.032258,0.0,0.225806
Australia,2010-03,19,0.058824,0.0,0.0,0.117647,0.176471,0.176471,0.117647,0.0,0.352941,0.132087,NONCONFORMING,0.052632,0.0,0.0,0.0,0.052632,0.157895,0.157895,0.105263,0.0,0.210526
Australia,2010-04,17,0.0,0.454545,0.0,0.090909,0.181818,0.090909,0.090909,0.0,0.090909,0.107361,NONCONFORMING,0.125,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0625
Australia,2010-05,59,0.06383,0.06383,0.106383,0.042553,0.191489,0.106383,0.191489,0.0,0.234043,0.105228,NONCONFORMING,0.053571,0.053571,0.053571,0.071429,0.035714,0.125,0.053571,0.160714,0.0,0.160714
Australia,2010-06,113,0.112676,0.056338,0.098592,0.042254,0.253521,0.042254,0.169014,0.042254,0.183099,0.093934,NONCONFORMING,0.098039,0.0,0.009804,0.04902,0.009804,0.088235,0.009804,0.107843,0.009804,0.058824
Australia,2010-07,18,0.0,0.066667,0.066667,0.333333,0.2,0.066667,0.066667,0.0,0.2,0.115591,NONCONFORMING,0.055556,0.0,0.055556,0.0,0.277778,0.055556,0.0,0.055556,0.0,0.055556
Australia,2010-08,7,0.0,0.0,0.285714,0.0,0.285714,0.0,0.0,0.0,0.428571,0.166694,NONCONFORMING,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,0.428571
Australia,2010-09,21,0.0,0.133333,0.0,0.133333,0.333333,0.0,0.2,0.0,0.2,0.130406,NONCONFORMING,0.095238,0.0,0.047619,0.0,0.095238,0.142857,0.0,0.142857,0.0,0.0
Australia,2010-10,142,0.054348,0.076087,0.108696,0.097826,0.217391,0.108696,0.195652,0.01087,0.130435,0.089603,NONCONFORMING,0.143939,0.015152,0.05303,0.022727,0.060606,0.113636,0.075758,0.121212,0.0,0.060606
Australia,2010-11,176,0.102041,0.102041,0.176871,0.068027,0.190476,0.095238,0.068027,0.108844,0.088435,0.067094,NONCONFORMING,0.063953,0.017442,0.069767,0.093023,0.023256,0.081395,0.040698,0.052326,0.011628,0.023256
Australia,2010-12,33,0.107143,0.035714,0.035714,0.035714,0.214286,0.035714,0.25,0.0,0.285714,0.126016,NONCONFORMING,0.030303,0.0,0.0,0.0,0.030303,0.121212,0.030303,0.151515,0.0,0.121212
Australia,2011-01,128,0.036697,0.06422,0.183486,0.110092,0.146789,0.137615,0.211009,0.027523,0.082569,0.088852,NONCONFORMING,0.103175,0.007937,0.015873,0.087302,0.039683,0.071429,0.031746,0.126984,0.007937,0.02381
Australia,2011-02,94,0.189189,0.054054,0.108108,0.162162,0.054054,0.094595,0.094595,0.108108,0.135135,0.061297,NONCONFORMING,0.021277,0.021277,0.0,0.031915,0.085106,0.021277,0.021277,0.021277,0.06383,0.031915
Australia,2011-03,110,0.141304,0.065217,0.086957,0.065217,0.195652,0.108696,0.119565,0.119565,0.097826,0.075617,NONCONFORMING,0.082569,0.027523,0.027523,0.055046,0.018349,0.073394,0.055046,0.045872,0.018349,0.0
Australia,2011-04,18,0.117647,0.0,0.058824,0.117647,0.117647,0.235294,0.058824,0.0,0.294118,0.105943,NONCONFORMING,0.0,0.0,0.0,0.055556,0.111111,0.055556,0.222222,0.055556,0.0,0.055556
Australia,2011-05,117,0.112245,0.010204,0.122449,0.030612,0.173469,0.183673,0.214286,0.071429,0.081633,0.094102,NONCONFORMING,0.017391,0.0,0.008696,0.043478,0.008696,0.121739,0.052174,0.113043,0.017391,0.017391
Australia,2011-06,169,0.125984,0.086614,0.110236,0.102362,0.141732,0.141732,0.070866,0.094488,0.125984,0.06205,NONCONFORMING,0.09697,0.018182,0.042424,0.066667,0.048485,0.042424,0.048485,0.036364,0.024242,0.006061
