country,year_month,metric,n,observed,expected,mad,chi_square,chi2_pvalue,classification,column
Eire,2011-09,amount_first,1211,"[0.597027250206441, 0.12138728323699421, 0.08505367464905036, 0.01981833195706028, 0.05037159372419488, 0.037985136251032205, 0.021469859620148638, 0.016515276630883566, 0.05037159372419488]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.066803,1209.0012,0.0,NONCONFORMING,amount
Eire,2011-11,amount_first,1097,"[0.5870556061987238, 0.11941659070191431, 0.09662716499544212, 0.03828623518687329, 0.059252506836827715, 0.03372835004557885, 0.01731996353691887, 0.010938924339106655, 0.037374658158614404]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.063561,1095.0013,0.0,NONCONFORMING,amount
Eire,2010-11,amount_first,1121,"[0.5825156110615521, 0.13737734165923282, 0.10258697591436218, 0.028545941123996433, 0.07136485280999108, 0.021409455842997322, 0.02230151650312221, 0.021409455842997322, 0.012488849241748439]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.062552,1119.0013,0.0,NONCONFORMING,amount
Germany,2011-10,amount_first,1321,"[0.5768357305071915, 0.1286903860711582, 0.09462528387585163, 0.04390613171839516, 0.04920514761544285, 0.022710068130204392, 0.028009084027252083, 0.028009084027252083, 0.028009084027252083]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.06129,1319.001,0.0,NONCONFORMING,amount
France,2011-09,amount_first,1061,"[0.5589066918001885, 0.13854853911404336, 0.10084825636192271, 0.04147031102733271, 0.04429783223374175, 0.03204524033930255, 0.030160226201696512, 0.036757775683317624, 0.016965127238454288]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.057306,1059.0013,0.0,NONCONFORMING,amount
Germany,2011-11,amount_first,1101,"[0.5322434150772025, 0.1271571298819255, 0.10535876475930972, 0.04904632152588556, 0.06267029972752043, 0.029064486830154404, 0.023614895549500452, 0.021798365122615803, 0.04904632152588556]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.052112,1099.0012,0.0,NONCONFORMING,amount
Eire,2010-10,amount_first,1467,"[0.5296523517382413, 0.1465576005453306, 0.12133605998636673, 0.049079754601226995, 0.06339468302658487, 0.032038173142467624, 0.022494887525562373, 0.018404907975460124, 0.017041581458759374]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.050805,1465.0009,0.0,NONCONFORMING,amount
France,2011-11,amount_first,1550,"[0.5045161290322581, 0.14774193548387096, 0.11032258064516129, 0.045806451612903226, 0.04774193548387097, 0.03032258064516129, 0.032903225806451615, 0.044516129032258066, 0.03612903225806452]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.045219,1548.0008,0.0,NONCONFORMING,amount
United Kingdom,2010-09,amount_first,36023,"[0.43683202398467647, 0.15298559253810065, 0.11661993726230464, 0.0650972989478944, 0.08455708852677456, 0.03850317852483136, 0.04424950725925103, 0.03925269966410349, 0.021902673292063402]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.031373,36021.0,0.0,NONCONFORMING,amount
United Kingdom,2010-07,amount_first,29117,"[0.43294295428787305, 0.15743380155922657, 0.10948930178246385, 0.05869423360923172, 0.08812721090771714, 0.03870591063639798, 0.04722327162825841, 0.04227770718137171, 0.02510560840745956]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.031302,29115.0,0.0,NONCONFORMING,amount
