anomaly_type,method,n_rows,n_caught,pct_caught
digit_fabrication,benford_any,111,99,89.19
digit_fabrication,rules_any,111,52,46.85
digit_fabrication,iforest,111,1,0.9
digit_fabrication,lof,111,19,17.12
digit_fabrication,composite,111,0,0.0
duplicate,benford_any,149,138,92.62
duplicate,rules_any,149,41,27.52
duplicate,iforest,149,4,2.68
duplicate,lof,149,6,4.03
duplicate,composite,149,5,3.36
extreme_outlier,benford_any,127,119,93.7
extreme_outlier,rules_any,127,110,86.61
extreme_outlier,iforest,127,43,33.86
extreme_outlier,lof,127,40,31.5
extreme_outlier,composite,127,49,38.58
round_number,benford_any,127,121,95.28
round_number,rules_any,127,127,100.0
round_number,iforest,127,91,71.65
round_number,lof,127,17,13.39
round_number,composite,127,89,70.08
threshold_avoidance,benford_any,159,148,93.08
threshold_avoidance,rules_any,159,159,100.0
threshold_avoidance,iforest,159,97,61.01
threshold_avoidance,lof,159,30,18.87
threshold_avoidance,composite,159,85,53.46
timing,benford_any,129,119,92.25
timing,rules_any,129,24,18.6
timing,iforest,129,1,0.78
timing,lof,129,1,0.78
timing,composite,129,1,0.78
ALL_INJECTED,benford_any,802,744,92.77
ALL_INJECTED,rules_any,802,513,63.97
ALL_INJECTED,iforest,802,237,29.55
ALL_INJECTED,lof,802,113,14.09
ALL_INJECTED,composite,802,229,28.55
REAL_ROWS,benford_any,49198,45714,92.92
REAL_ROWS,rules_any,49198,8884,18.06
REAL_ROWS,iforest,49198,513,1.04
REAL_ROWS,lof,49198,637,1.29
REAL_ROWS,composite,49198,521,1.06
