country,year_month,txn_count,total_value,avg_value,min_value,max_value
United Kingdom,2011-11,77475,1325346.2,17.11,0.06,4781.6
United Kingdom,2010-11,71117,1275581.14,17.94,0.0,15818.4
United Kingdom,2010-12,60093,1153350.42,19.19,0.14,13541.33
United Kingdom,2010-10,52800,1000408.88,18.95,0.19,10468.8
United Kingdom,2011-10,53337,938975.0,17.6,0.06,3285.0
United Kingdom,2011-09,44667,897076.47,20.08,0.0,7144.72
United Kingdom,2010-09,37036,773073.5,20.87,0.0,10468.8
United Kingdom,2009-12,41732,750317.22,17.98,0.06,2386.8
United Kingdom,2010-03,37761,721530.21,19.11,0.0,10953.5
United Kingdom,2010-06,36109,652412.49,18.07,0.06,25111.09
United Kingdom,2011-05,32858,639314.36,19.46,0.19,8142.75
United Kingdom,2011-06,32388,619510.67,19.13,0.1,38970.0
United Kingdom,2011-08,30471,608047.48,19.95,0.12,11062.06
United Kingdom,2011-07,35202,601994.84,17.1,0.0,4287.63
United Kingdom,2010-08,29988,596550.35,19.89,0.14,2367.28
United Kingdom,2011-12,23594,592622.08,25.12,0.12,168469.59
United Kingdom,2011-03,32612,586230.28,17.98,0.19,2076.8
United Kingdom,2010-04,30683,584609.73,19.05,0.0,5876.34
United Kingdom,2011-01,31164,561289.98,18.01,0.19,77183.6
United Kingdom,2010-05,30915,560187.81,18.12,0.1,2500.0
United Kingdom,2010-07,29794,559442.54,18.78,0.12,2970.75
United Kingdom,2010-01,28430,511797.66,18.0,0.0,8985.6
United Kingdom,2011-04,27281,476517.76,17.47,0.0,6539.4
United Kingdom,2010-02,26145,455136.28,17.41,0.0,1206.5
United Kingdom,2011-02,24850,430027.95,17.3,0.18,3215.52
EIRE,2010-01,562,65258.43,116.12,2.1,1990.0
EIRE,2010-10,1433,50079.05,34.95,2.52,2736.16
Netherlands,2010-09,404,45037.14,111.48,0.42,1620.0
EIRE,2011-09,1181,43086.55,36.48,3.48,830.0
EIRE,2011-07,708,42789.85,60.44,2.28,2365.2
Netherlands,2011-10,278,40708.65,146.43,0.42,4992.0
Netherlands,2011-08,276,40327.81,146.12,1.25,998.4
EIRE,2010-09,962,36984.47,38.45,5.04,1398.0
Netherlands,2010-11,453,36058.74,79.6,0.84,979.2
EIRE,2010-07,680,35722.32,52.53,1.25,1762.8
France,2011-10,887,33485.45,37.75,0.55,4161.06
France,2011-11,1544,31758.71,20.57,0.36,386.64
Germany,2011-10,1286,31638.42,24.6,2.28,876.0
EIRE,2010-11,1098,31031.31,28.26,2.52,540.0
EIRE,2011-11,1070,30738.43,28.73,2.5,612.0
Germany,2010-11,942,30240.51,32.1,5.04,350.4
Netherlands,2010-01,150,29230.77,194.87,5.04,1544.4
Netherlands,2011-05,215,29185.88,135.75,5.04,1392.0
Germany,2011-11,1094,28025.02,25.62,0.39,613.2
Netherlands,2011-09,242,26937.26,111.31,2.08,432.0
Netherlands,2011-06,324,26858.09,82.9,0.42,612.0
Netherlands,2011-01,229,26611.16,116.21,5.04,652.8
EIRE,2010-08,668,26005.71,38.93,1.25,784.8
Netherlands,2011-11,225,25874.01,115.0,0.39,540.0
Germany,2011-05,764,25751.2,33.71,2.5,523.0
Australia,2011-06,169,25187.77,149.04,9.9,996.0
Netherlands,2010-08,259,25028.69,96.64,1.25,1224.0
EIRE,2011-06,624,24863.61,39.85,1.45,1917.0
Netherlands,2010-03,185,24447.98,132.15,5.04,1044.0
EIRE,2011-10,871,24317.92,27.92,2.34,1380.0
Netherlands,2010-06,214,24224.51,113.2,0.84,816.0
EIRE,2010-04,625,23929.48,38.29,2.28,799.2
Germany,2010-04,757,23683.23,31.29,0.0,306.0
France,2011-09,1038,23428.04,22.57,4.56,232.0
Netherlands,2011-02,189,23011.91,121.76,7.8,700.8
EIRE,2010-03,719,22989.46,31.97,3.4,782.56
EIRE,2010-06,635,22934.34,36.12,5.04,381.0
Australia,2011-08,107,22489.2,210.18,9.48,1260.0
Netherlands,2010-05,282,22416.53,79.49,5.04,700.8
Netherlands,2011-03,189,22416.49,118.61,7.8,1056.0
EIRE,2011-03,558,22197.51,39.78,2.88,1687.17
EIRE,2011-01,173,21904.19,126.61,3.75,1752.0
Germany,2010-10,844,21561.63,25.55,2.0,700.8
EIRE,2010-02,515,21538.8,41.82,1.65,734.4
Germany,2010-12,750,20925.22,27.9,2.88,378.0
Germany,2010-07,836,20274.29,24.25,3.36,715.02
EIRE,2009-12,578,20099.74,34.77,5.04,803.25
Denmark,2010-02,31,19809.9,639.03,21.6,3630.8
France,2010-11,978,19618.27,20.06,0.42,734.4
Germany,2011-08,795,19220.77,24.18,4.56,525.6
