customer_id,country,invoice_count,line_count,total_value,avg_line_value,first_txn,last_txn
<NA>,United Kingdom,2995,233252,3148203.82,13.5,2009-12-01 11:49:00,2011-12-09 10:26:00
18102.0,United Kingdom,145,1058,608821.65,575.45,2009-12-01 09:24:00,2011-12-09 11:50:00
14646.0,Netherlands,151,3849,528602.52,137.34,2009-12-02 16:52:00,2011-12-08 12:12:00
14156.0,EIRE,156,4048,313946.37,77.56,2009-12-01 12:30:00,2011-11-30 10:54:00
14911.0,EIRE,398,11245,295972.63,26.32,2009-12-01 11:41:00,2011-12-08 15:54:00
17450.0,United Kingdom,51,424,246973.09,582.48,2010-09-27 16:59:00,2011-12-01 13:29:00
13694.0,United Kingdom,143,1525,196482.81,128.84,2009-12-04 15:26:00,2011-12-06 09:32:00
17511.0,United Kingdom,60,1911,175603.55,91.89,2009-12-02 10:52:00,2011-12-07 10:12:00
16446.0,United Kingdom,2,3,168472.49,56157.5,2011-05-18 09:52:00,2011-12-09 09:15:00
16684.0,United Kingdom,55,718,147142.77,204.93,2009-12-07 12:56:00,2011-12-05 14:06:00
12415.0,Australia,28,926,144458.37,156.0,2010-06-30 08:30:00,2011-11-15 14:22:00
15061.0,United Kingdom,127,987,137818.52,139.63,2009-12-01 12:18:00,2011-12-06 12:06:00
16029.0,United Kingdom,107,383,122209.14,319.08,2009-12-08 11:23:00,2011-11-01 10:27:00
17949.0,United Kingdom,118,157,118628.08,755.59,2009-12-02 11:07:00,2011-12-08 18:46:00
15311.0,United Kingdom,208,4434,116771.16,26.34,2009-12-01 11:21:00,2011-12-09 12:00:00
13089.0,United Kingdom,203,3362,116737.86,34.72,2009-12-02 15:44:00,2011-12-07 09:02:00
12931.0,United Kingdom,57,218,92347.34,423.61,2009-12-01 11:46:00,2011-11-18 12:39:00
14298.0,United Kingdom,82,2864,91194.49,31.84,2009-12-11 13:49:00,2011-12-01 13:12:00
15769.0,United Kingdom,46,224,88704.32,396.0,2009-12-11 09:58:00,2011-12-02 13:52:00
12346.0,United Kingdom,12,34,77556.46,2281.07,2009-12-14 08:34:00,2011-01-18 10:01:00
