customer_id,txn_date,amount_rounded,occurrences,distinct_invoices,invoice_list,total_exposure
15760.0,2010-03-19,6958.17,2,2,"501766,501768",13916.34
18102.0,2011-09-15,2290.0,5,2,"566934,566935",11450.0
12536.0,2011-10-27,4161.06,2,2,"573077,573080",8322.12
14028.0,2010-06-07,1203.5,6,2,"511164,511176",7221.0
18102.0,2011-02-07,3215.52,2,2,"543378,543379",6431.04
18102.0,2011-07-04,916.0,7,2,"558775,558776",6412.0
13734.0,2010-07-09,2970.75,2,2,"515281,515296",5941.5
18102.0,2010-01-08,1800.0,3,2,"493883,493885",5400.0
<NA>,2010-09-30,2545.85,2,2,"524711,524714",5091.7
18102.0,2009-12-15,480.0,10,2,"492236,492237",4800.0
17511.0,2011-11-09,179.0,25,2,"575219,575220",4475.0
18102.0,2011-09-15,916.0,4,3,"566931,566936,566935",3664.0
18102.0,2010-01-08,1728.0,2,2,"493883,493885",3456.0
14911.0,2011-03-11,1687.17,2,2,"546328,546329",3374.34
14031.0,2011-10-03,1416.0,2,2,"569385,569388",2832.0
18102.0,2011-09-15,1374.0,2,2,"566934,566935",2748.0
16029.0,2011-10-07,1373.76,2,2,"570094,570097",2747.52
15769.0,2011-08-24,537.0,5,3,"564310,564312,564311",2685.0
15769.0,2011-08-24,358.0,7,3,"564310,564312,564311",2506.0
18139.0,2011-11-21,622.5,4,2,"577754,577783",2490.0
12757.0,2011-05-23,1241.98,2,2,"554155,554301",2483.96
18102.0,2011-02-07,1164.24,2,2,"543378,543379",2328.48
18102.0,2011-09-15,458.0,5,2,"566936,566935",2290.0
14607.0,2011-10-24,179.0,12,2,"572326,572337",2148.0
16029.0,2011-10-07,488.16,4,2,"570094,570097",1952.64
12482.0,2010-04-21,874.84,2,2,"505227,505229",1749.68
<NA>,2010-06-11,851.6,2,2,"512024,512029",1703.2
18102.0,2010-07-15,850.68,2,2,"515930,515936",1701.36
14911.0,2010-09-27,270.0,6,2,"524147,524155",1620.0
17509.0,2011-10-07,15.0,105,6,"570125,570177,570179,570180,570186,570192",1575.0
14911.0,2010-01-08,780.52,2,2,"493897,493900",1561.04
12823.0,2010-11-10,765.0,2,2,"531950,531957",1530.0
16029.0,2010-12-16,510.0,3,2,"539101,539102",1530.0
14911.0,2010-01-20,756.85,2,2,"495055,495056",1513.7
18102.0,2010-01-12,300.0,5,2,"494243,494244",1500.0
18102.0,2010-07-15,745.2,2,2,"515930,515936",1490.4
12931.0,2010-05-13,714.0,2,2,"508095,508096",1428.0
13767.0,2011-09-20,177.6,8,2,"567376,567425",1420.8
18102.0,2011-10-03,464.8,3,3,"569255,569263,569365",1394.4
18102.0,2010-07-15,689.04,2,2,"515930,515936",1378.08
18102.0,2011-09-15,687.0,2,2,"566934,566936",1374.0
13777.0,2010-12-01,326.4,4,2,"536575,536576",1305.6
18102.0,2010-08-17,648.96,2,2,"519470,519468",1297.92
14646.0,2011-06-28,179.0,7,2,"558262,558311",1253.0
17949.0,2011-06-30,610.56,2,2,"558523,558612",1221.12
17850.0,2010-12-02,20.34,60,11,"536600,536602,536609,536612,536628,536630,536690,536750,536752,536787,536790",1220.4
15061.0,2010-12-02,202.5,6,2,"536783,536784",1215.0
16754.0,2010-06-30,581.25,2,2,"513990,513992",1162.5
12482.0,2010-04-18,145.0,8,4,"504871,504872,504874,504875",1160.0
14646.0,2011-11-23,290.0,4,2,"578140,578141",1160.0
14607.0,2011-10-24,72.0,16,3,"572344,572326,572337",1152.0
<NA>,2011-08-30,4.13,275,15,"564754,564755,564756,564757,564758,564760,564817,564818,564820,564825,564835,564837,564838,564840,564841",1135.75
<NA>,2010-12-06,5.91,190,3,"537237,537240,537434",1122.9
18102.0,2011-10-03,279.36,4,2,"569255,569257",1117.44
14646.0,2010-02-18,370.0,3,2,"498396,498398",1110.0
14646.0,2011-03-29,222.0,5,2,"548010,548011",1110.0
12482.0,2010-02-24,100.8,11,5,"498931,498936,498939,498943,498945",1108.8
<NA>,2010-12-07,4.21,262,7,"537638,537640,537641,537642,537643,537645,537666",1103.02
13093.0,2010-10-21,550.8,2,2,"528375,528388",1101.6
17396.0,2011-07-14,367.2,3,2,"559941,559942",1101.6
13777.0,2010-12-01,180.0,6,2,"536575,536577",1080.0
17850.0,2009-12-07,29.7,36,7,"490535,490538,490548,490606,490659,490676,490697",1069.2
16191.0,2010-11-29,266.4,4,2,"535912,535937",1065.6
12931.0,2010-05-13,530.0,2,2,"508095,508096",1060.0
17850.0,2010-07-05,29.7,35,13,"514518,514520,514530,514531,514534,514540,514545,514555,514556,514559,514565,514600,514601",1039.5
12931.0,2010-05-13,495.0,2,2,"508095,508096",990.0
14646.0,2010-02-18,330.0,3,2,"498395,498398",990.0
12482.0,2010-02-24,122.4,8,4,"498936,498939,498943,498945",979.2
18102.0,2011-10-03,319.2,3,2,"569263,569362",957.6
<NA>,2010-12-07,5.91,162,6,"537638,537641,537642,537643,537645,537666",957.42
18102.0,2010-08-09,238.0,4,2,"518545,518551",952.0
14646.0,2011-10-20,236.88,4,2,"572035,572051",947.52
14646.0,2010-03-26,313.2,3,2,"502758,502759",939.6
13694.0,2010-03-18,234.0,4,2,"501611,501614",936.0
<NA>,2010-12-07,8.47,110,7,"537638,537640,537641,537642,537643,537645,537666",931.7
13093.0,2010-10-21,459.0,2,2,"528375,528388",918.0
12482.0,2010-04-07,228.96,4,2,"503831,503834",915.84
14933.0,2010-09-22,295.0,3,3,"523428,523429,523430",885.0
16029.0,2010-12-16,220.32,4,2,"539101,539102",881.28
12931.0,2010-05-13,435.0,2,2,"508095,508096",870.0
16029.0,2011-08-05,174.0,5,2,"562459,562462",870.0
18102.0,2011-10-03,214.56,4,3,"569255,569263,569343",858.24
<NA>,2010-12-06,11.82,72,3,"537237,537240,537434",851.04
16985.0,2011-11-22,70.8,12,2,"578005,578029",849.6
12931.0,2010-05-13,424.0,2,2,"508095,508096",848.0
15061.0,2010-12-02,105.6,8,2,"536783,536784",844.8
14298.0,2009-12-11,93.6,9,2,"491612,491635",842.4
12931.0,2010-05-13,420.0,2,2,"508095,508096",840.0
14646.0,2010-05-06,139.2,6,2,"507178,507179",835.2
14646.0,2011-11-23,139.2,6,2,"578140,578143",835.2
12482.0,2010-04-07,69.12,12,4,"503831,503833,503835,503836",829.44
<NA>,2010-04-19,4.21,197,11,"504916,504918,504919,504921,504924,504925,504928,504933,504935,504936,505016",829.37
14646.0,2010-11-03,275.4,3,2,"530514,530513",826.2
14646.0,2010-06-03,165.0,5,2,"510725,510727",825.0
14646.0,2011-02-21,165.0,5,2,"544479,544480",825.0
<NA>,2010-12-06,7.62,108,3,"537237,537240,537434",822.96
<NA>,2010-12-07,7.62,108,6,"537638,537641,537642,537643,537645,537666",822.96
14911.0,2010-09-27,408.0,2,2,"524147,524155",816.0
18139.0,2011-11-21,102.0,8,4,"577745,577754,577772,577783",816.0
<NA>,2010-04-19,25.49,32,11,"504916,504918,504919,504921,504924,504925,504928,504933,504935,504936,505016",815.68
14646.0,2011-06-01,270.0,3,2,"555160,555164",810.0
15061.0,2010-12-10,202.5,4,2,"538191,538195",810.0
<NA>,2010-12-06,4.21,192,3,"537237,537240,537434",808.32
16029.0,2011-03-16,201.6,4,2,"546733,546734",806.4
14607.0,2011-10-24,400.0,2,2,"572324,572342",800.0
17850.0,2010-12-02,15.3,52,12,"536600,536602,536609,536612,536628,536630,536685,536690,536750,536752,536787,536790",795.6
14911.0,2010-09-27,394.2,2,2,"524147,524155",788.4
15270.0,2010-02-03,130.8,6,2,"496613,496614",784.8
15546.0,2010-04-12,130.8,6,2,"504213,504214",784.8
17850.0,2010-09-22,29.7,26,10,"523410,523411,523420,523422,523461,523465,523468,523511,523513,523540",772.2
<NA>,2011-08-30,5.79,133,15,"564754,564755,564756,564757,564758,564760,564817,564818,564820,564825,564835,564837,564838,564840,564841",770.07
<NA>,2010-12-06,8.47,90,3,"537237,537240,537434",762.3
<NA>,2009-12-14,6.04,126,4,"491966,491969,491970,491971",761.04
18102.0,2010-08-17,190.08,4,2,"519470,519468",760.32
<NA>,2011-08-30,2.46,302,15,"564754,564755,564756,564757,564758,564760,564817,564818,564820,564825,564835,564837,564838,564840,564841",742.92
<NA>,2010-12-07,8.42,88,7,"537638,537640,537641,537642,537643,537645,537666",740.96
13093.0,2010-10-21,367.2,2,2,"528375,528388",734.4
14646.0,2009-12-02,244.8,3,2,"489889,489890",734.4
14646.0,2010-05-06,244.8,3,2,"507178,507179",734.4
14646.0,2010-05-06,367.2,2,2,"507178,507179",734.4
16684.0,2010-08-19,183.6,4,2,"519640,519709",734.4
<NA>,2010-12-09,5.91,124,5,"538071,538148,538149,538153,538154",732.84
<NA>,2010-12-17,5.91,124,5,"539434,539436,539437,539451,539453",732.84
<NA>,2010-12-06,8.42,86,3,"537237,537240,537434",724.12
14911.0,2010-09-27,360.0,2,2,"524147,524155",720.0
16684.0,2011-10-05,144.0,5,2,"569571,569572",720.0
15125.0,2011-05-16,179.0,4,2,"553339,553340",716.0
15769.0,2011-10-06,179.0,4,2,"569740,569839",716.0
16180.0,2011-05-13,179.0,4,2,"553088,553095",716.0
17850.0,2010-12-02,71.5,10,5,"536600,536685,536690,536750,536752",715.0
14156.0,2011-09-05,355.2,2,2,"565475,565476",710.4
16191.0,2010-11-15,177.6,4,2,"533009,533047",710.4
16333.0,2011-04-01,355.2,2,2,"548629,548630",710.4
17107.0,2011-11-06,70.8,10,2,"574707,574708",708.0
<NA>,2010-12-09,8.47,82,5,"538071,538148,538149,538153,538154",694.54
<NA>,2009-12-22,8.65,80,15,"493073,493074,493079,493260,493261,493264,493265,493267,493269,493271,493273,493276,493283,493287,493288",692.0
12482.0,2010-04-07,114.48,6,3,"503833,503835,503836",686.88
<NA>,2010-12-03,4.21,162,5,"536862,536864,536865,536876,536982",682.02
<NA>,2011-08-30,16.63,41,14,"564754,564755,564756,564757,564758,564760,564817,564818,564820,564825,564835,564837,564838,564840",681.83
<NA>,2010-12-06,16.98,40,3,"537237,537240,537434",679.2
<NA>,2010-12-07,16.94,40,7,"537638,537640,537641,537642,537643,537645,537666",677.6
17509.0,2011-10-07,16.5,41,5,"570177,570179,570180,570186,570192",676.5
13324.0,2010-09-14,61.2,11,3,"522422,522442,522460",673.2
<NA>,2010-12-06,6.72,100,3,"537237,537240,537434",672.0
<NA>,2010-12-06,2.51,266,3,"537237,537240,537434",667.66
<NA>,2010-12-17,4.21,157,5,"539434,539436,539437,539451,539453",660.97
12482.0,2010-02-24,132.0,5,5,"498931,498936,498939,498943,498945",660.0
12482.0,2010-04-18,165.0,4,2,"504874,504879",660.0
14646.0,2010-05-06,165.0,4,2,"507178,507179",660.0
14646.0,2011-05-12,165.0,4,2,"552882,552883",660.0
16029.0,2010-11-04,165.0,4,2,"530717,530720",660.0
17677.0,2010-09-03,165.0,4,2,"521325,521327",660.0
<NA>,2011-12-08,8.26,78,5,"581217,581219,581238,581256,581439",644.28
<NA>,2010-12-06,16.84,38,3,"537237,537240,537434",639.92
12931.0,2010-05-13,318.0,2,2,"508095,508096",636.0
17949.0,2010-02-04,318.0,2,2,"496959,496962",636.0
14646.0,2010-03-26,158.4,4,2,"502758,502759",633.6
14646.0,2010-05-06,158.4,4,2,"507178,507179",633.6
14646.0,2011-11-10,316.8,2,2,"575508,575510",633.6
<NA>,2010-12-06,3.36,188,3,"537237,537240,537434",631.68
14646.0,2010-05-06,126.0,5,2,"507178,507179",630.0
13324.0,2011-05-20,69.6,9,3,"554003,554026,554034",626.4
14646.0,2010-05-06,208.8,3,2,"507178,507179",626.4
13776.0,2010-10-07,311.99,2,2,"525905,525909",623.98
14646.0,2010-09-24,207.36,3,2,"523921,523929",622.08
<NA>,2010-12-17,8.47,73,5,"539434,539436,539437,539451,539453",618.31
<NA>,2011-08-30,10.79,57,12,"564754,564755,564756,564758,564817,564818,564820,564825,564835,564837,564838,564840",615.03
<NA>,2009-12-14,8.65,71,4,"491966,491969,491970,491971",614.15
12901.0,2011-10-16,306.0,2,2,"571259,571261",612.0
12931.0,2010-03-29,306.0,2,2,"502905,502991",612.0
14607.0,2011-10-24,306.0,2,2,"572326,572339",612.0
16029.0,2010-01-07,306.0,2,2,"493797,493799",612.0
<NA>,2010-12-07,34.0,18,6,"537638,537641,537642,537643,537645,537666",612.0
12482.0,2010-02-24,152.64,4,4,"498936,498939,498943,498945",610.56
12482.0,2010-04-07,76.32,8,4,"503831,503833,503835,503836",610.56
<NA>,2010-12-09,16.94,36,4,"538071,538148,538149,538153",609.84
12931.0,2010-05-13,304.8,2,2,"508095,508096",609.6
<NA>,2010-12-07,12.63,48,7,"537638,537640,537641,537642,537643,537645,537666",606.24
16029.0,2011-03-16,302.4,2,2,"546733,546734",604.8
<NA>,2010-12-21,8.47,71,14,"539708,539718,539735,539736,539737,539738,539739,539740,539741,539742,539743,539745,539744,539747",601.37
15332.0,2010-12-05,60.0,10,2,"537081,537086",600.0
<NA>,2010-12-01,4.21,142,2,"536544,536592",597.82
16013.0,2010-04-22,297.0,2,2,"505537,505538",594.0
17850.0,2009-12-06,29.7,20,4,"490408,490477,490508,490516",594.0
16333.0,2011-04-01,296.8,2,2,"548627,548635",593.6
<NA>,2011-08-30,8.29,71,15,"564754,564755,564756,564757,564758,564760,564817,564818,564820,564825,564835,564837,564838,564840,564841",588.59
<NA>,2010-12-06,10.08,58,3,"537237,537240,537434",584.64
<NA>,2011-12-08,16.63,35,4,"581217,581219,581238,581439",582.05
12482.0,2010-05-12,290.0,2,2,"508080,508082",580.0
15270.0,2010-11-04,290.0,2,2,"530646,530647",580.0
<NA>,2009-12-22,6.04,96,14,"493073,493074,493079,493260,493261,493264,493265,493267,493269,493271,493273,493276,493283,493287",579.84
<NA>,2010-04-19,5.91,98,11,"504916,504918,504919,504921,504924,504925,504928,504933,504935,504936,505016",579.18
<NA>,2009-12-14,4.3,134,4,"491966,491971,491969,491970",576.2
12931.0,2010-05-13,288.0,2,2,"508095,508096",576.0
14607.0,2011-10-24,144.0,4,2,"572324,572342",576.0
14646.0,2011-10-20,144.0,4,2,"572035,572051",576.0
<NA>,2010-12-01,8.47,68,2,"536544,536592",575.96
<NA>,2010-12-03,8.47,68,6,"536862,536864,536865,536866,536876,536982",575.96
<NA>,2011-12-08,4.13,139,4,"581217,581219,581238,581439",574.07
<NA>,2010-12-07,3.36,170,7,"537638,537640,537641,537642,537643,537645,537666",571.2
