year_month,txn_count,total_value,last2day_count,pct_in_last_2_days
2009-12,43957,825685.76,0,0.0
2010-01,30638,652708.5,1393,4.55
2010-02,28282,553713.3,1282,4.53
2010-03,40364,833570.13,3684,9.13
2010-04,33268,681528.99,3223,9.69
2010-05,33795,659858.86,795,2.35
2010-06,38900,752270.14,3407,8.76
2010-07,32503,650712.94,737,2.27
2010-08,32473,697274.91,1751,5.39
2010-09,41109,924333.01,3973,9.66
2010-10,57797,1165483.91,2682,4.64
2010-11,76464,1470272.48,6207,8.12
2010-12,63496,1262598.79,0,0.0
2011-01,34306,691364.55,2187,6.37
2011-02,27105,523631.89,2490,9.19
2011-03,35803,717639.36,3167,8.85
2011-04,29096,537808.62,0,0.0
2011-05,36164,770536.02,1267,3.5
2011-06,35977,761739.9,2923,8.12
2011-07,38645,719221.19,1270,3.29
2011-08,34483,759138.38,4374,12.68
2011-09,49261,1058590.17,4301,8.73
2011-10,59304,1154979.29,6271,10.57
2011-11,83369,1509496.32,7650,9.18
2011-12,25112,638810.67,0,0.0
