customer_id,txn_count,round_100_count,pct_round_100
17857.0,60,3,5.0
14163.0,58,2,3.45
18102.0,1058,31,2.93
12717.0,71,2,2.82
12801.0,50,1,2.0
12348.0,51,1,1.96
18251.0,108,2,1.85
18006.0,65,1,1.54
14607.0,209,3,1.44
13340.0,215,3,1.4
12358.0,77,1,1.3
17949.0,157,2,1.27
12374.0,83,1,1.2
12398.0,85,1,1.18
12349.0,175,2,1.14
12704.0,88,1,1.14
13316.0,175,2,1.14
13694.0,1525,17,1.11
12369.0,93,1,1.08
16029.0,383,4,1.04
17404.0,292,3,1.03
12432.0,108,1,0.93
12931.0,218,2,0.92
16345.0,111,1,0.9
12483.0,139,1,0.72
